rn_user|time|name|lock|lock_time|itogotem|itogomsg|repa|kosyaki|nikname|ip|rezerved|
10000|1487491415|WR|0||2|3|1|0|Администратор|81.241.47.224||
32727||admin|0||0|0|0|0||127.0.0.1||
